テーマID,タイトル_配信用,概要_配信用_短文,HTML相対パス,ステータス,公開予定日_YYYY-MM-DD,公開URL_フル,最終レビュー日,レビュー者,改訂元テーマID,備考,ファクトチェック完了日_YYYY-MM-DD,ファクトチェック方法_Codification等,理解確認MC数,主要ASCサブトピック_ファクトチェック用,参照教材メモ_内部用のみ
lcm-teikahou,【図解】低価法（LCM）と時価の決め方,FIFOとLIFOで「時価」の取り方が変わる。天井・床と中央値を図で固定。,/topics/lcm-teikahou/,公開済み,2026-05-04,https://haitokutaishi-lgtm.github.io/lcm-teikahou-diagram/,2026-05-04,矢橋,,USCPA出題に合わせたオリジナル図解,Discord自動配信は当面ストップ（低価法1か月オフ方針）,2026-05-04,別コンテキストでASC 330照合・MC再計算,2,ASC 330 Inventory,
deferred-tax-asset-dta,【図解】Income Taxes — DTA（低価法サイト同型）,DTA／DTL の分岐とパターン整理。,/topics/deferred-tax-asset-dta/,公開済み_URLあり,2026-05-14,https://haitokutaishi-lgtm.github.io/diagram-site/topics/deferred-tax-asset-dta/,,矢橋,,publish-html/income-taxes-dta.html,Discord自動配信は当面ストップ（税効果1か月オフ方針）,,別コンテキストでASC 740照合・MC再計算推奨,2,ASC 740 Income Taxes,
inventory-lcm-reading-drill,【図解】在庫・低価法を「読む順番」で固定する（MC付き）,評価方法で時価の組み立てが変わる論点を読む順チェックリストに。,/topics/inventory-lcm-reading-drill/,原稿あり_未配信予定,2026-05-17,https://haitokutaishi-lgtm.github.io/diagram-site/topics/inventory-lcm-reading-drill/,,矢橋,,publish-html/inventory-lcm-reading-drill.html,低価法系のため当月Discordキーなし,,別コンテキストでASC 330照合・MC再計算推奨,2,ASC 330 Inventory,
deferred-tax-asset-dta-calculation,【図解】DTAの求め方 — 未払費用が「支払ってから損金」（MC付き）,タイミング差から期末DTAを数量化する典型。,/topics/deferred-tax-asset-dta-calculation/,原稿あり_未配信予定,2026-05-21,https://haitokutaishi-lgtm.github.io/diagram-site/topics/deferred-tax-asset-dta-calculation/,,矢橋,,publish-html/deferred-tax-asset-dta-calculation.html,税効果系のため当月Discordキーなし,,別コンテキストでASC 740照合・MC再計算推奨,2,ASC 740 Income Taxes,
refinancing-current-liabilities,【図解】短期債務の借換えと financing の上限（MC付き）,intent・abilityと融資枠の数的上限で current／noncurrent が変わる。,/topics/refinancing-current-liabilities/,公開予定,2026-05-14,https://haitokutaishi-lgtm.github.io/diagram-site/topics/refinancing-current-liabilities/,,矢橋,,publish-html/theme-refinancing-current-liabilities.html／Discord2026-05-14・2026-05-31,,別コンテキストでASC 470-10照合・MC再計算推奨,2,ASC 470-10 Debt,アビタス Liabilities・470系MC
current-liabilities-classification,【図解】流動負債の区分—社債・割引・配当を含む合計,試算表から流動負債に含める項目を積み上げる型。,/topics/current-liabilities-classification/,企画中_要デプロイ,2026-05-17,https://haitokutaishi-lgtm.github.io/diagram-site/topics/current-liabilities-classification/,,矢橋,,FAR MCスクリーンショット（流動負債計算）／原稿未作成,Discord2026-05-17・2026-06-01,,TBD,2,ASC 210-10 Presentation,
treasury-stock-par-value,【図解】自己株式—額面法での取得・消却と APIC,発行・取得・消却の仕訳レール。,/topics/treasury-stock-par-value/,企画中_要デプロイ,2026-05-18,https://haitokutaishi-lgtm.github.io/diagram-site/topics/treasury-stock-par-value/,,矢橋,,FAR MCスクリーンショット（Treasury Stock Par Value）／原稿未作成,Discord2026-05-18・2026-06-04,,TBD,2,ASC 505 Equity,
notes-payable-accrued-interest,【図解】Notes Payable と未払利息の期末計算,分割返済後の残元本と経過期間で利息を按分。,/topics/notes-payable-accrued-interest/,企画中_要デプロイ,2026-05-21,https://haitokutaishi-lgtm.github.io/diagram-site/topics/notes-payable-accrued-interest/,,矢橋,,FAR MCスクリーンショット（手形借入・未払利息）／原稿未作成,Discord2026-05-21・2026-06-07,,TBD,2,ASC 835 Interest,
warranty-liability,【図解】売上連動の製品保証—expense と期末 liability の区別,売上×率の認識と現金支出・期末残高のロールフォワード。,/topics/warranty-liability/,原稿あり_未配信予定,2026-05-24,https://haitokutaishi-lgtm.github.io/diagram-site/topics/warranty-liability/,,矢橋,,publish-html/warranty-liability.html／uscpa-far-diagram-quality 準拠,Discord2026-05-24,,別コンテキストでASC 460照合・MC再計算推奨,2,ASC 460 Warranty,
asset-group-relative-sales-value,【図解】資産グループ購入—売価按分で土地・建物に配分,一括購入を公正価値比率で按分。,/topics/asset-group-relative-sales-value/,企画中_要デプロイ,2026-05-25,https://haitokutaishi-lgtm.github.io/diagram-site/topics/asset-group-relative-sales-value/,,矢橋,,FAR MC M5-2-1（05-02）／原稿未作成,Discord2026-05-25のみ,,TBD,2,ASC 360 PP&E,
involuntary-conversion-gain,【図解】強制転換・収用—補償金と帳簿価額から除却益,収用補償と帳簿価額の差が当期 gain。,/topics/involuntary-conversion-gain/,企画中_要デプロイ,2026-05-28,https://haitokutaishi-lgtm.github.io/diagram-site/topics/involuntary-conversion-gain/,,矢橋,,FAR MC M5-9-1（05-09）／原稿未作成,Discord2026-05-28・2026-06-10,,TBD,2,ASC 360 PP&E,
ppe-impairment-held-for-use,【図解】固定資産の減損・保有継続（低価法サイト同型）,2段階テストを同一レイアウトで整理。,/topics/ppe-impairment-held-for-use/,共有済み_URL手動,2026-05-10,https://haitokutaishi-lgtm.github.io/diagram-site/topics/ppe-impairment-held-for-use/,,矢橋,,publish-html/ppe-impairment-held-for-use.html／Discord自動配信対象外・URL手動共有,,別コンテキストでASC 360-10照合・MC再計算推奨,2,ASC 360-10 PP&E,参考UI: lcm-teikahou-diagram
